""	"T_statistic"	"CI_low"	"CI_high"	"mean_Yes"	"mean_No"	"p.value"	"FDR"
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	10.2842176511841	0.00920500160545734	0.0135407988230908	0.0764484718700858	0.0650755716558118	1.35070274363852e-24	1.3003215313008e-20
"GO_2FE_2S_CLUSTER_ASSEMBLY"	5.30573726249166	0.0067078283655514	0.0145693703778542	-0.169224848642536	-0.179863448014239	1.16396595914146e-07	0.00076554041132734
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	-7.33357435920284	-0.00686228789918639	-0.00396740410661514	0.0353668470748718	0.0407816930777726	2.51960808180207e-13	2.07313352970674e-09
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	-3.07614688429222	-0.0033625193061793	-0.000744945092226678	0.0842669047130504	0.0863206369122533	0.00210601683526621	1
"GO_3_5_DNA_HELICASE_ACTIVITY"	12.6193210522236	0.0133272998291277	0.0182301535043725	0.0397386582359471	0.023959931569197	8.2133848038147e-36	8.21009944989318e-32
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	2.23448541704981	0.000320058747611603	0.00489812128859594	0.0479810592281275	0.0453719692100237	0.0254897061845104	1
"GO_3_5_EXONUCLEASE_ACTIVITY"	6.28760493285062	0.00255216921654542	0.00486466424893266	0.10390733486042	0.100198918127681	3.48284921460864e-10	2.60064350854827e-06
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-2.94895420840185	-0.00372566953236963	-0.000750256631222816	-0.0154427844171771	-0.0132048213353808	0.00320034529457994	1
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	0.348453103773311	-0.00191894862431222	0.00274861096618837	-0.144315969876085	-0.144730801047023	0.727511751176786	1
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	2.43095663659164	0.000878661391293905	0.00819897919923208	0.0925406309782589	0.0880018106829959	0.0150876016904235	1
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	5.59555316248507	0.00399764197352263	0.00830925617100594	0.258212049352112	0.252058600279848	2.29487675829684e-08	0.000157566238224661
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	5.51765438099462	0.00583206600834784	0.0122601106957111	-0.0525798162919723	-0.0616259046440018	3.59072823489011e-08	0.00024373863258434
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	-5.14072217194275	-0.00544542776349906	-0.00243888259096701	0.228603687975696	0.232545843152929	2.81596490267106e-07	0.00180531509910242
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	-5.3413024345785	-0.00663446585352014	-0.00307202290398726	0.135491357509504	0.140344601888258	9.55685581500966e-08	0.000631803737930289
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	-2.18676369941314	-0.00288985580162867	-0.000157767421256374	0.189448775018439	0.190972586629881	0.0287980957778317	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	-2.03251508232911	-0.0022416618752493	-4.05125938761825e-05	0.0892033408748904	0.0903444281094531	0.0421448474454492	1
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	-9.58912147244259	-0.0112439686485485	-0.00742691895541425	0.240711056178702	0.250046499980684	1.29942971627856e-21	1.22471250759255e-17
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	-6.05843315990627	-0.00719626147518294	-0.00367771822640694	0.134795212028612	0.140232201879407	1.45697436673094e-09	1.05747199537331e-05
"GO_3M_COMPLEX"	-3.05086355922151	-0.00356897550478784	-0.000776644974961031	0.0640786327743764	0.0662514430142508	0.00229205192479209	1
"GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"	6.42215161714945	0.00576544338857196	0.0108317790214122	0.130634635121393	0.122336023916401	1.45085875524603e-10	1.09757464834362e-06
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING"	10.6554273601489	0.00704406481731718	0.0102204874068856	0.0966702111724396	0.0880379350603382	3.14999209957459e-26	3.05832732947697e-22
"GO_5_3_DNA_HELICASE_ACTIVITY"	6.24776530170476	0.00623360674643725	0.011934272962231	-0.101167825607398	-0.110251765461732	4.48454430865427e-10	3.33336178462272e-06
"GO_5_3_EXODEOXYRIBONUCLEASE_ACTIVITY"	2.59784899753745	0.000560600641014318	0.00400850012277815	0.217834397744029	0.215549847362133	0.00940443681258461	1
"GO_5_3_EXONUCLEASE_ACTIVITY"	6.81240652826004	0.00430876163143833	0.00779048686060817	0.120195777715114	0.114146153469091	1.05449442378773e-11	8.28199920442883e-08
"GO_5_DEOXYRIBOSE_5_PHOSPHATE_LYASE_ACTIVITY"	2.50109668992752	0.00124317379044296	0.0102566542820222	0.15050044693584	0.144750532899608	0.0124061587404666	1
"GO_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS"	7.13695340168068	0.0113902630347261	0.0200172970264738	-0.00539755142897593	-0.0211013314595759	1.07302536143714e-12	8.69043240227936e-09
"GO_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III"	1.70885323685711	-0.000343890169892342	0.00501734812822341	0.171291818021286	0.168955089042121	0.0875273925556741	1
"GO_5S_RRNA_BINDING"	4.78971748543433	0.0036103820818359	0.00861338115970872	0.21184302721279	0.205731145592017	1.71015920360649e-06	0.0103931002757584
"GO_7S_RNA_BINDING"	6.11580514831787	0.00636438024733468	0.012369255568635	0.214352517525473	0.204985699617488	1.0211552827686e-09	7.46464511703845e-06
"GO_7SK_SNRNA_BINDING"	-2.60438709051154	-0.0089853437856418	-0.00126779445327523	0.0426974319334407	0.0478240010528992	0.0092246063473968	1
"GO_90S_PRERIBOSOME"	5.08465279392113	0.0028814848540699	0.00649764198162828	0.0373041918860843	0.0326146284682352	3.80827754260577e-07	0.00241635210078336
"GO_9PLUS0_NON_MOTILE_CILIUM"	-6.49628330947006	-0.00243234324549109	-0.00130463324403461	0.102205794694756	0.104074282939519	8.94423312122184e-11	6.81461121505892e-07
"GO_9PLUS2_MOTILE_CILIUM"	-0.657967220140959	-0.000784912146550588	0.000390425713638285	0.0566494623635842	0.0568467055800404	0.510584207987348	1
"GO_A_BAND"	-6.97597189195406	-0.00384706921455591	-0.00215919443081087	0.246885828165418	0.249888959988101	3.38327897076484e-12	2.69850330708203e-08
"GO_ABSCISSION"	5.85499010216479	0.00782166711398348	0.0156959918170439	-0.136515774998334	-0.148274604463847	5.05158784035714e-09	3.58410157273339e-05
"GO_ACETATE_ESTER_TRANSPORT"	-6.51020801860752	-0.0115431947488106	-0.00620039824067998	-0.0049907479575455	0.00388104853719981	8.01483799715179e-11	6.11612287562653e-07
"GO_ACETYL_COA_BIOSYNTHETIC_PROCESS"	6.52938898056347	0.00389665364964864	0.00724047264538254	0.0607500638193901	0.0551815006718745	7.1872609629431e-11	5.49609845836259e-07
"GO_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE"	6.24038614894892	0.00361962973564868	0.00693544243318337	0.103988339614365	0.0987108035299488	4.67919105371807e-10	3.4738314382803e-06
"GO_ACETYL_COA_C_ACYLTRANSFERASE_ACTIVITY"	6.77302532151253	0.00947887634726804	0.0172010653915641	0.242339979933852	0.229000009064436	1.38497026593559e-11	1.08318524498822e-07
"GO_ACETYL_COA_HYDROLASE_ACTIVITY"	3.82486208764553	0.00445492857569154	0.0138228505843586	-0.00821453278037969	-0.0173534223604047	0.000132171464066106	0.660989491794595
"GO_ACETYL_COA_METABOLIC_PROCESS"	5.96834139965353	0.00247097256994669	0.00488818298201247	0.059522362530947	0.0558427847549675	2.54086480314562e-09	1.82738996642233e-05
"GO_ACETYLCHOLINE_BINDING"	-5.57809547406975	-0.00396847933647925	-0.00190448419203303	-0.00586103024524261	-0.00292454848098647	2.53985711163516e-08	0.000173954813575892
"GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY"	-4.46401951231707	-0.00391964969107095	-0.00152754960732748	-0.0485334792878204	-0.0458098796386212	8.18485531217942e-06	0.0466782298453592
"GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX"	-4.47252094850678	-0.00375225570789291	-0.00146533761560502	-0.0430024626153075	-0.0403936659535585	7.86799776551431e-06	0.0449577392321488
"GO_ACETYLCHOLINE_METABOLIC_PROCESS"	-8.46528313160831	-0.00600965177095058	-0.00374951239942578	0.205862271632931	0.210741853718119	3.40851758258866e-17	3.0335806485039e-13
"GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY"	-6.20618387671135	-0.00381383815155066	-0.00198281499248106	-0.00476144518011817	-0.00186311860810231	5.8148711844362e-10	4.29951575377213e-06
"GO_ACETYLCHOLINE_RECEPTOR_BINDING"	-1.74920001975888	-0.00237152309141933	0.000134992656594335	0.115235080582284	0.116353345799696	0.0803072227065589	1
"GO_ACETYLCHOLINE_RECEPTOR_INHIBITOR_ACTIVITY"	3.32613309182242	0.00242912552974445	0.00940213188892574	0.1743216121388	0.168405983429465	0.000885471166286274	1
"GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY"	-8.65272831380333	-0.00369669130228601	-0.00233100632308486	0.0955147189549207	0.0985285677676061	6.66611756184842e-18	5.99750597039503e-14
"GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY"	-3.57555633912964	-0.00219034793229346	-0.000639082963423704	0.0944566838875499	0.0958713993354084	0.000352071236439671	1
"GO_ACETYLTRANSFERASE_ACTIVITY"	8.67814997599051	0.00371632128825323	0.00588541339313416	0.0727172265614722	0.0679163592207785	5.39846572104464e-18	4.86293792151702e-14
"GO_ACID_AMINO_ACID_LIGASE_ACTIVITY"	1.35066952119045	-0.000415258165070639	0.00225520226473079	0.0999217332764372	0.0990017612266072	0.176849297298902	1
"GO_ACID_PHOSPHATASE_ACTIVITY"	0.220492589468204	-0.00205326341849757	0.00257368779881672	0.0693054343497731	0.0690452221596136	0.825494666322736	1
"GO_ACID_SECRETION"	-4.04719157095837	-0.00185965527103443	-0.000645973576958696	0.063860813289457	0.0651136277134536	5.25332153971822e-05	0.27611458012759
"GO_ACID_THIOL_LIGASE_ACTIVITY"	2.11909452446576	8.954035603696e-05	0.00230117196846264	-0.0298346968668464	-0.0310300530290962	0.0341234886976235	1
"GO_ACIDIC_AMINO_ACID_TRANSPORT"	-5.60298481209538	-0.00265827986613267	-0.00128028092851672	0.0617654432048874	0.0637347236022121	2.19521992923577e-08	0.000150899417935667
"GO_ACROSIN_BINDING"	-3.52746669474954	-0.00438977711305388	-0.00125354311371641	0.049106835523942	0.0519284956373271	0.000422730393793849	1
"GO_ACROSOMAL_MEMBRANE"	5.95435049814742	0.00332846567413803	0.00659583044232013	-0.0244560518112014	-0.0294181998694304	2.75304590309112e-09	1.97778817678066e-05
"GO_ACROSOMAL_VESICLE"	7.5193944516433	0.00212030738281269	0.00361573972813701	0.0184691275897095	0.0156011040342347	6.323196102565e-14	5.28429498291357e-10
"GO_ACROSOMAL_VESICLE_EXOCYTOSIS"	-5.09782388876765	-0.00421533337938941	-0.00187371146737427	0.111592425705223	0.114636948128605	3.56149282546353e-07	0.0022651094369948
"GO_ACROSOME_ASSEMBLY"	3.14811863932641	0.00126741903625773	0.00545103453512755	-0.0170090048380183	-0.0203682316237109	0.00165110639739469	1
"GO_ACROSOME_REACTION"	-4.60574908246687	-0.00273431170031171	-0.00110158054723576	0.0419152991902902	0.0438332453140639	4.20726122061417e-06	0.0247218669323289
"GO_ACTIN_BASED_CELL_PROJECTION"	3.23836999600095	0.000330071058424113	0.00134265104315765	0.0905198321787021	0.0896834711279112	0.00120841359859238	1
"GO_ACTIN_BINDING"	9.42605875217915	0.00166624316281533	0.00254130608202945	0.105955547196949	0.103851772574526	6.04215493494321e-21	5.64578957121094e-17
"GO_ACTIN_CORTICAL_PATCH_LOCALIZATION"	-0.277920119135154	-0.0026007714311293	0.00195490563554035	0.153483758362579	0.153806691260374	0.781082700474887	1
"GO_ACTIN_CROSSLINK_FORMATION"	2.43201665407464	0.000410812475280675	0.00382533743808007	0.0371970985869487	0.0350790236302684	0.0150406931856997	1
"GO_ACTIN_CYTOSKELETON"	8.68541878121674	0.00147156238298982	0.00232949646988165	0.102339397336245	0.10043886790981	4.86138987636406e-18	4.38205683455456e-14
"GO_ACTIN_CYTOSKELETON_REORGANIZATION"	5.62063069638766	0.00136139448258039	0.00281963845751039	0.115536588065628	0.113446071595582	1.98422744823203e-08	0.000136772798006633
"GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY"	1.48660437456395	-0.00060395865238298	0.00439451766327262	0.0386651888086581	0.0367699093032133	0.137168322189118	1
"GO_ACTIN_FILAMENT"	6.00791800434989	0.00165580661505689	0.00325973490245197	0.0882688114407473	0.0858110406819929	1.9919104375075e-09	1.43756176274916e-05
"GO_ACTIN_FILAMENT_BASED_MOVEMENT"	3.22974425849016	0.000370018473351509	0.00151287084225842	0.0912346946836582	0.0902932500258532	0.00124551622559613	1
"GO_ACTIN_FILAMENT_BASED_PROCESS"	7.64261068098975	0.00100072977065605	0.00169123935674159	0.099807274544297	0.0984612899805982	2.48653747361595e-14	2.09988089646867e-10
"GO_ACTIN_FILAMENT_BASED_TRANSPORT"	3.02157410616923	0.00242790582361378	0.0113979436498488	0.0290167826902212	0.02210385795349	0.00252524509857105	1
"GO_ACTIN_FILAMENT_BINDING"	8.59414681265182	0.00222251668104017	0.00353608897132808	0.105779792652997	0.102900489826813	1.06770172306338e-17	9.58048756104771e-14
"GO_ACTIN_FILAMENT_BUNDLE"	5.43579734163424	0.00174052668924696	0.00370404147263714	0.127764582478856	0.125042298397914	5.66607082628623e-08	0.000379626745361178
"GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION"	4.48576967634808	0.000665516572589818	0.00169872155758099	0.108613552789118	0.107431433724033	7.39521936378479e-06	0.0424707448062161
"GO_ACTIN_FILAMENT_DEPOLYMERIZATION"	10.3991892794888	0.00426018612427849	0.00623951002349164	0.102733584910472	0.0974837368365869	4.1725386670628e-25	4.02816882918242e-21
"GO_ACTIN_FILAMENT_NETWORK_FORMATION"	3.46497335189037	0.00140374788162284	0.00506141520064107	0.0583586989663833	0.0551261174252513	0.000533524052612056	1
"GO_ACTIN_FILAMENT_ORGANIZATION"	5.86503337072314	0.000893646250677417	0.00179097752937707	0.10975831852342	0.108416006633392	4.74142826191692e-09	3.36831063726578e-05
"GO_ACTIN_FILAMENT_POLYMERIZATION"	5.03043001908558	0.00114781727429787	0.00261371058076519	0.110017310211088	0.108136546283556	5.04850531386214e-07	0.00317752924454483
"GO_ACTIN_FILAMENT_REORGANIZATION"	0.136751665456411	-0.00243469397065985	0.00279985037555768	-0.0121045497610123	-0.0122871279634612	0.891231514577861	1
"GO_ACTIN_FILAMENT_SEVERING"	5.84716617993939	0.00808287445708804	0.0162362031994843	0.132585298079037	0.12042575925075	5.25610555907636e-09	3.72552762027332e-05
"GO_ACTIN_MEDIATED_CELL_CONTRACTION"	0.850079368240688	-0.000269813839214231	0.000682975336113831	0.098518220464677	0.0983116397162272	0.395315166925811	1
"GO_ACTIN_MODIFICATION"	5.3431013841601	0.00610544593917578	0.0131819965440811	-0.148974063669344	-0.158617784910973	9.49198222320855e-08	0.000627799704243014
"GO_ACTIN_MONOMER_BINDING"	-2.59031526907486	-0.0019875347703576	-0.000275135813857653	0.220035856619379	0.221167191911487	0.00961214214910577	1
"GO_ACTIN_NUCLEATION"	4.34789302377336	0.00144880503469825	0.00382797034524228	0.189722793480157	0.187084405790186	1.39702704819156e-05	0.0779541092890891
"GO_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY"	2.64205104642188	0.000814510828072698	0.00549899124480958	0.299192705238307	0.296035954201866	0.00826111954567646	1
"GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION"	6.50839224725293	0.00161331402481317	0.00300414150459629	0.110517756036792	0.108209028272088	8.27361711114574e-11	6.31194249409309e-07
"GO_ACTININ_BINDING"	-6.34607711752509	-0.00354498215272525	-0.00187171588777103	0.156856976548468	0.159565325568716	2.37041606948372e-10	1.78089359300312e-06
"GO_ACTION_POTENTIAL"	-2.62116696169421	-0.00110012840709751	-0.000158667608928343	0.0779641968004341	0.078593594808447	0.00878651993041063	1
"GO_ACTIVATED_T_CELL_PROLIFERATION"	-1.66449006604879	-0.00213037642008929	0.000173874983331023	0.0791815470634958	0.080159797781875	0.0960638823819945	1
"GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING"	-4.04898282196891	-0.00268851172473263	-0.000934420938930237	0.0863511314540833	0.0881625977859147	5.21036322757436e-05	0.273908794873584
"GO_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS"	4.51327130792678	0.00262221155852107	0.00664941364452135	0.104719307126163	0.100083494524642	6.51002483823264e-06	0.0375758633662788
"GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY"	-3.11620907549987	-0.00272832317986939	-0.000621216095054259	0.0676534724457144	0.0693282420831762	0.00183982469660594	1
"GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY"	4.79508942788227	0.0034357102688922	0.00818765981191785	0.120381188122431	0.114569503082026	1.66561799122376e-06	0.0101346909521305
"GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS"	1.93677049158776	-1.24853486786654e-05	0.00206001072587987	0.133025857168219	0.132002094479618	0.0528239740869316	1
"GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C"	-0.398975144477086	-0.0044637582776533	0.00295406776447585	0.1977672462448	0.198522091501389	0.689925531225804	1
"GO_ACTIVATION_OF_GTPASE_ACTIVITY"	-0.00925536378491361	-0.000853212565523896	0.000845193971437003	0.00190379239360243	0.00190780169064587	0.992615705506689	1
"GO_ACTIVATION_OF_IMMUNE_RESPONSE"	2.60075821883347	0.000203983024253927	0.001453025989818	0.111652771767973	0.110824267260937	0.00932899339540295	1
"GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE"	5.19694691646861	0.00146953986232585	0.00324982081914681	0.132241278387159	0.129881598046422	2.10677418086311e-07	0.00136308289501843
"GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY"	-2.89182080022857	-0.00430481888353707	-0.000826394281879246	0.148882436553957	0.151448043136665	0.0038436460875752	1
"GO_ACTIVATION_OF_JNKK_ACTIVITY"	-1.8920102891877	-0.00269455834370129	4.7795149358443e-05	0.0451871673087181	0.0465105489058895	0.0585355916956444	1
"GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY"	2.44028079705838	0.000345466359393356	0.00316775034126167	0.000711912967178325	-0.00104469538314919	0.0147045472055993	1
"GO_ACTIVATION_OF_MAPK_ACTIVITY"	1.96288048546487	8.04993959499135e-07	0.0012551996595618	0.0659842660806084	0.0653562637538478	0.0497067736160013	1
"GO_ACTIVATION_OF_MAPKK_ACTIVITY"	-4.22544738976582	-0.00313849729572842	-0.00114924722436911	0.0736809008496223	0.075824773109671	2.41898597477209e-05	0.13193149506407
"GO_ACTIVATION_OF_MAPKKK_ACTIVITY"	-6.07381550348956	-0.0121284799415498	-0.00620975785616381	0.0380877647787661	0.0472568836776229	1.3222731488656e-09	9.61292579225293e-06
"GO_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY"	0.478996537873206	-0.00095964123750732	0.00158024581235146	0.0410022541261567	0.0406919518387346	0.631957769711049	1
"GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY"	-3.49896527987698	-0.0032671788988135	-0.000920807771751307	0.0294597167231648	0.0315537100584472	0.000470276445687864	1
"GO_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY"	-0.624591922850405	-0.00485188062495601	0.00250717986956245	0.242225332928948	0.243397683306645	0.53226148029976	1
"GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY"	0.531473206292206	-0.0011005080153534	0.00191918398166376	0.111085269389065	0.11067593140591	0.595109741573856	1
"GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY"	3.0333630027996	0.000245577747215436	0.00114292906276505	0.0852451724919075	0.0845509190869172	0.00242916528331791	1
"GO_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY"	7.21974204705058	0.0028442119961248	0.00496447961014693	0.0754573980820554	0.0715530522789195	5.84165707676832e-13	4.76328718039689e-09
"GO_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY"	0.348363937547028	-0.00240903397430473	0.00345026951238739	-0.0424601702493439	-0.0429807880183853	0.727578335900785	1
"GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY"	-6.84637393231651	-0.00556045539898798	-0.00308489518189103	0.161439003612611	0.165761678903051	8.47162040501301e-12	6.67478971710975e-08
"GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	-3.69026996090202	-0.00127068035188514	-0.000389011808583406	0.086830310073216	0.0876601561534503	0.000226006780266288	1
"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	-2.23268234494187	-0.000778476215001273	-5.05609619695583e-05	0.0724807258990181	0.0728952444875036	0.0256058276338631	1
"GO_ACTIVIN_ACTIVATED_RECEPTOR_ACTIVITY"	-6.50445829782627	-0.0050023947194531	-0.00268530737593628	0.211210676471747	0.215054527519442	8.5871501644078e-11	6.54598457032807e-07
"GO_ACTIVIN_BINDING"	-3.12874454625142	-0.00387218544954577	-0.000889020999520035	0.136032821185696	0.138413424410229	0.00176344137221712	1
"GO_ACTIVIN_RECEPTOR_ACTIVITY_TYPE_I"	-3.08159352312642	-0.00352902687030233	-0.000784726092083293	0.116046908788899	0.118203785270092	0.00207000574979839	1
"GO_ACTIVIN_RECEPTOR_BINDING"	-9.42367768666243	-0.00471810170249588	-0.00309302789402936	0.101266620455669	0.105172185253931	7.16105418982486e-21	6.68269576994456e-17
"GO_ACTIVIN_RECEPTOR_COMPLEX"	-4.71454222980822	-0.00447577874343834	-0.00184667826474573	0.214912899639861	0.218074128143953	2.49318288574723e-06	0.0149341654856259
"GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY"	-5.71024072993375	-0.00415713414406536	-0.00203229242000032	0.10422472851336	0.107319441795393	1.17901906865113e-08	8.21540487036107e-05
"GO_ACTOMYOSIN"	4.88184630598886	0.00141036882973463	0.00330310883834992	0.138746061425278	0.136389322591236	1.07751711988425e-06	0.00664181552696655
"GO_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION"	11.0738812067713	0.0125069645493717	0.0178880056828786	0.13135868529528	0.116161200179155	3.8546444162529e-28	3.77600967016134e-24
"GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION"	5.47896599987306	0.000849408478476389	0.00179588096316419	0.109058902129806	0.107736257408985	4.4476098378441e-08	0.000299590998677179
"GO_ACUTE_INFLAMMATORY_RESPONSE"	-6.93161143505071	-0.00293794653095834	-0.00164251610707344	0.120847344707563	0.123137576026579	4.61354159776159e-12	3.66776557022047e-08
"GO_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS"	-6.02254197810196	-0.00531492075884893	-0.00270458727775874	0.153785216222741	0.157794970241045	1.80971200395417e-09	1.30769789405728e-05
"GO_ACUTE_PHASE_RESPONSE"	-6.11646409144233	-0.00437122155119174	-0.00224930021216288	0.0839112933606807	0.087221554242358	1.0183358118179e-09	7.44505312020065e-06
"GO_ACYL_CARNITINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	-3.22498875877103	-0.00579545663568882	-0.00141346269692224	0.112387335251763	0.115991794918069	0.00126607277499337	1
"GO_ACYL_CARNITINE_TRANSPORT"	-3.22498875877103	-0.00579545663568882	-0.00141346269692224	0.112387335251763	0.115991794918069	0.00126607277499337	1
"GO_ACYL_COA_DEHYDROGENASE_ACTIVITY"	2.52617674362386	0.000720371771124767	0.00571193173517251	0.085853122599541	0.0826369708463924	0.0115560156482474	1
"GO_ACYL_COA_LIGASE_ACTIVITY"	1.78956946942724	-0.000108289155072532	0.00237762010537062	-0.0545138980617205	-0.0556485635368695	0.073573732805092	1
